# 业务专业术语词典 - jieba自定义词典格式
# 格式：词 词频 词性
# 词频越高，jieba越优先识别该词（建议100-10000）

# === PPT相关 ===
PPT生成 1000 n
PPT模板 800 n
PPT主题 800 n
幻灯片 500 n
课程汇报 1000 n
产品演示 800 n
工作汇报 1000 n
项目汇报 900 n
年终总结 700 n

# === 功能相关 ===
批量操作 800 n
批量导出 900 n
批量删除 700 n
一键生成 800 n
自动生成 900 n
智能推荐 700 n
数据导出 1000 n
数据导入 900 n
权限设置 800 n
权限管理 900 n

# === 需求相关 ===
功能缺失 700 n
功能优化 800 n
界面优化 800 n
性能优化 900 n
用户体验 800 n
操作流程 700 n

# === 问题相关 ===
系统卡顿 800 n
加载缓慢 700 n
页面崩溃 700 n
数据丢失 800 n
无法使用 700 n

